,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
0,CMP 239,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Don't recall,Don't recall,Computer Science,,Man,African American,21-24
1,CMP 239,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Information Technology,,Woman,Multi-Racial,25-34
2,CMP 239,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Information Technology,,Man,Hispanic,35-64
3,CMP 239,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Non Degree seeking,4.0,Woman,Asian,18 and younger
4,CMP 239,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,25-34
5,CMP 239,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,19-20
6,CMP 239,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Web Development Certificate of Achievement,,Woman,White,35-64
7,CMP 239,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,Information Technology,,Man,White,25-34
8,CMP 239,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Information Technology,,Man,Asian,21-24
9,CMP 239,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,Man,Asian,21-24
10,CMP 239,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,18 and younger
11,CMP 239,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Engineering Science,5.0,Man,White,25-34
12,CMP 239,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Digital Media Technology,,Man,White,19-20
13,CMP 128,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Undecided,5.0,Man,Hispanic,25-34
14,CMP 128,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Computer Science,,Man,Hispanic,18 and younger
15,CMP 128,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Woman,Hispanic,18 and younger
16,CMP 128,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,21-24
17,CMP 128,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Computer Science,,Woman,Asian,18 and younger
18,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,Non Degree seeking,5.0,Woman,Multi-Racial,19-20
19,CMP 128,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Woman,African American,21-24
20,CMP 128,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,19-20
21,CMP 128,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
22,CMP 128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Don't recall,Undecided,3.0,Woman,Asian,19-20
23,CMP 128,No,No,No,Don't recall,No,No,No,Yes,No,No,No,No,No,No,Challenger Program,,Man,Asian,18 and younger
24,CMP 239,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Don't recall,Information Technology,,Man,Asian,19-20
25,CMP 239,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Undecided,5.0,Man,Hispanic,19-20
